شکل فضای حالت: (6,)
اندازه فضای عمل: 20
تعداد PRV ها: 1
نام PRV ها: ['PRV1']
مقادیر مجاز PRV: [10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]
تعداد گره های تقاضا (Junctions): 6
شروع آموزش برای 50000 گام زمانی...
گام 72/50000, اپیزود 1, پاداش اپیزود: -72000.00, اپسیلون: 0.9959
گام 144/50000, اپیزود 2, پاداش اپیزود: -72000.00, اپسیلون: 0.9888
گام 216/50000, اپیزود 3, پاداش اپیزود: -72000.00, اپسیلون: 0.9817
گام 288/50000, اپیزود 4, پاداش اپیزود: -72000.00, اپسیلون: 0.9746
گام 360/50000, اپیزود 5, پاداش اپیزود: -72000.00, اپسیلون: 0.9676
گام 432/50000, اپیزود 6, پاداش اپیزود: -72000.00, اپسیلون: 0.9607
گام 504/50000, اپیزود 7, پاداش اپیزود: -72000.00, اپسیلون: 0.9538
گام 576/50000, اپیزود 8, پاداش اپیزود: -72000.00, اپسیلون: 0.9470
گام 648/50000, اپیزود 9, پاداش اپیزود: -72000.00, اپسیلون: 0.9402
گام 720/50000, اپیزود 10, پاداش اپیزود: -72000.00, اپسیلون: 0.9334
گام 792/50000, اپیزود 11, پاداش اپیزود: -72000.00, اپسیلون: 0.9267
گام 864/50000, اپیزود 12, پاداش اپیزود: -72000.00, اپسیلون: 0.9201
گام 936/50000, اپیزود 13, پاداش اپیزود: -72000.00, اپسیلون: 0.9135
گام 1008/50000, اپیزود 14, پاداش اپیزود: -72000.00, اپسیلون: 0.9069
گام 1080/50000, اپیزود 15, پاداش اپیزود: -72000.00, اپسیلون: 0.9004
گام 1152/50000, اپیزود 16, پاداش اپیزود: -72000.00, اپسیلون: 0.8939
گام 1224/50000, اپیزود 17, پاداش اپیزود: -72000.00, اپسیلون: 0.8875
گام 1296/50000, اپیزود 18, پاداش اپیزود: -72000.00, اپسیلون: 0.8812
گام 1368/50000, اپیزود 19, پاداش اپیزود: -72000.00, اپسیلون: 0.8748
گام 1440/50000, اپیزود 20, پاداش اپیزود: -72000.00, اپسیلون: 0.8686
گام 1512/50000, اپیزود 21, پاداش اپیزود: -72000.00, اپسیلون: 0.8623
گام 1584/50000, اپیزود 22, پاداش اپیزود: -72000.00, اپسیلون: 0.8562
گام 1656/50000, اپیزود 23, پاداش اپیزود: -72000.00, اپسیلون: 0.8500
گام 1728/50000, اپیزود 24, پاداش اپیزود: -72000.00, اپسیلون: 0.8439
گام 1800/50000, اپیزود 25, پاداش اپیزود: -72000.00, اپسیلون: 0.8379
گام 1872/50000, اپیزود 26, پاداش اپیزود: -72000.00, اپسیلون: 0.8318
گام 1944/50000, اپیزود 27, پاداش اپیزود: -72000.00, اپسیلون: 0.8259
گام 2016/50000, اپیزود 28, پاداش اپیزود: -72000.00, اپسیلون: 0.8200
گام 2088/50000, اپیزود 29, پاداش اپیزود: -72000.00, اپسیلون: 0.8141
گام 2160/50000, اپیزود 30, پاداش اپیزود: -72000.00, اپسیلون: 0.8082
گام 2232/50000, اپیزود 31, پاداش اپیزود: -72000.00, اپسیلون: 0.8024
گام 2304/50000, اپیزود 32, پاداش اپیزود: -72000.00, اپسیلون: 0.7967
گام 2376/50000, اپیزود 33, پاداش اپیزود: -72000.00, اپسیلون: 0.7910
گام 2448/50000, اپیزود 34, پاداش اپیزود: -72000.00, اپسیلون: 0.7853
گام 2520/50000, اپیزود 35, پاداش اپیزود: -72000.00, اپسیلون: 0.7796
گام 2592/50000, اپیزود 36, پاداش اپیزود: -72000.00, اپسیلون: 0.7741
گام 2664/50000, اپیزود 37, پاداش اپیزود: -72000.00, اپسیلون: 0.7685
گام 2736/50000, اپیزود 38, پاداش اپیزود: -72000.00, اپسیلون: 0.7630
گام 2808/50000, اپیزود 39, پاداش اپیزود: -72000.00, اپسیلون: 0.7575
گام 2880/50000, اپیزود 40, پاداش اپیزود: -72000.00, اپسیلون: 0.7521
گام 2952/50000, اپیزود 41, پاداش اپیزود: -72000.00, اپسیلون: 0.7467
گام 3024/50000, اپیزود 42, پاداش اپیزود: -72000.00, اپسیلون: 0.7413
گام 3096/50000, اپیزود 43, پاداش اپیزود: -72000.00, اپسیلون: 0.7360
گام 3168/50000, اپیزود 44, پاداش اپیزود: -72000.00, اپسیلون: 0.7307
گام 3240/50000, اپیزود 45, پاداش اپیزود: -72000.00, اپسیلون: 0.7255
گام 3312/50000, اپیزود 46, پاداش اپیزود: -72000.00, اپسیلون: 0.7203
گام 3384/50000, اپیزود 47, پاداش اپیزود: -72000.00, اپسیلون: 0.7151
