[PPO] using device: cuda
[timesteps 2048/50000] recent_avg_reward=6695.73, recent_avg_pressure=68.74
[timesteps 4096/50000] recent_avg_reward=6695.74, recent_avg_pressure=68.74
[timesteps 6144/50000] recent_avg_reward=6695.73, recent_avg_pressure=68.74
[timesteps 8192/50000] recent_avg_reward=6695.73, recent_avg_pressure=68.74
[timesteps 10240/50000] recent_avg_reward=6695.74, recent_avg_pressure=68.74
[timesteps 12288/50000] recent_avg_reward=6695.74, recent_avg_pressure=68.74
[timesteps 14336/50000] recent_avg_reward=6695.73, recent_avg_pressure=68.74
[timesteps 16384/50000] recent_avg_reward=6695.74, recent_avg_pressure=68.74
[timesteps 18432/50000] recent_avg_reward=6695.74, recent_avg_pressure=68.74
[timesteps 20480/50000] recent_avg_reward=6695.74, recent_avg_pressure=68.74
[timesteps 22528/50000] recent_avg_reward=6695.74, recent_avg_pressure=68.74
[timesteps 24576/50000] recent_avg_reward=6695.74, recent_avg_pressure=68.74
[timesteps 26624/50000] recent_avg_reward=6695.74, recent_avg_pressure=68.74
[timesteps 28672/50000] recent_avg_reward=6695.74, recent_avg_pressure=68.74
[timesteps 30720/50000] recent_avg_reward=6695.74, recent_avg_pressure=68.74
[timesteps 32768/50000] recent_avg_reward=6695.75, recent_avg_pressure=68.74
[timesteps 34816/50000] recent_avg_reward=6695.74, recent_avg_pressure=68.74
[timesteps 36864/50000] recent_avg_reward=6695.75, recent_avg_pressure=68.74
[timesteps 38912/50000] recent_avg_reward=6695.75, recent_avg_pressure=68.74
[timesteps 40960/50000] recent_avg_reward=6695.76, recent_avg_pressure=68.74
[timesteps 43008/50000] recent_avg_reward=6695.75, recent_avg_pressure=68.74
[timesteps 45056/50000] recent_avg_reward=6695.77, recent_avg_pressure=68.74
[timesteps 47104/50000] recent_avg_reward=6695.75, recent_avg_pressure=68.74
[timesteps 49152/50000] recent_avg_reward=6695.77, recent_avg_pressure=68.74
[timesteps 51200/50000] recent_avg_reward=6695.76, recent_avg_pressure=68.74
